uid,dealer_id,stake_amount,profit_amount,net_pnl,win_rate,n_related_orders,n_rounds_eff,p_base_mix,z_score,net_pnl_all,game_pnl_all,stake_all,win_rate_all,win_rate_other
107906451,2281,13088.4950899395,-1422.9778020413,-1422.9778020413,0.4444444,69,69,0.499807497101,-0.8788612800402898,-49940.6848074261,-49940.6848074261,2775465.1188002299,0.4961826,0.4964352
151338539,2129,999.4166400667,-120.5243635321,-120.5243635321,0.4137931,30,30,0.495390616667,-0.8788694595138529,-239.9042945893,-239.9042945893,6831.6025681857,0.5120773,0.5194805
99956136,1374,15643.1176607003,-716.8005397085,-580.7560137464,0.4137931,30,30,0.495390616667,-0.8788694595138529,-16356.9274040727,-36054.1288115819,2423488.0238010127,0.4915097,0.4918592
147975813,1402,3630.0641081221,-126.1883821626,-126.1883821626,0.3666667,37,33,0.446435839394,-0.8788853128828793,-11752.6780305926,-11752.6780305926,3648121.6241827621,0.4988978,0.4992109
151665716,550,1285.7767377285,-148.1214801861,-148.1214801861,0.4444444,71,71,0.499810261972,-0.8789051691522451,-1482.5005785984,-1482.5005785984,19495.2040527858,0.4656811,0.4671946
140448638,1374,878.4294779814,-169.8068329363,-169.8068329363,0.4444444,71,71,0.499810261972,-0.8789051691522451,-1556.9818488903,-1556.9818488903,129995.9300810168,0.4995255,0.4999402
112356167,2108,2576.1500460181,142.4719945157,142.4719945157,0.4210526,41,41,0.492336097561,-0.8789448481805362,-11909.3898360229,-11909.3898360229,1064379.3917683743,0.4977135,0.4979522
149034245,1940,352.1229623916,-38.8152209814,-38.8152209814,0.4210526,41,41,0.492336097561,-0.8789448481805362,-1248.3200845806,-1248.3200845806,70585.9615575434,0.4982807,0.4987421
137549966,2141,3113.4399366256,-603.5008693750,-603.5008693750,0.4444444,73,73,0.499812875342,-0.878946653386538,-664.0953679907,-664.0953679907,1019177.4238846794,0.5052704,0.5054895
147758452,2252,10235.7387865677,185.1609097468,185.1609097468,0.4500000,88,88,0.499136042045,-0.8789735534370069,8781.0122649210,8781.0122649210,242378.8042864750,0.5047574,0.5069238
